WSS1 WSS2 WSSadd WSSdrop split throughput time totalTraffic trafficSuccessNum
5.0 4.0 4.0 4.0 1.0 513.0 303 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 304 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 305 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 306 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 307 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 308 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 309 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 310 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 311 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 312 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 313 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 314 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 315 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 316 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 317 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 318 37.0 36.0
5.0 4.0 4.0 4.0 1.0 521.0 319 38.0 37.0
5.0 4.0 4.0 4.0 1.0 521.0 320 38.0 37.0
5.0 4.0 4.0 4.0 1.0 521.0 321 38.0 37.0
5.0 4.0 4.0 4.0 1.0 521.0 322 38.0 37.0
5.0 4.0 4.0 4.0 1.0 521.0 323 38.0 37.0
5.0 4.0 4.0 4.0 1.0 521.0 324 38.0 37.0
5.0 4.0 4.0 4.0 1.0 521.0 325 38.0 37.0
5.0 4.0 4.0 4.0 1.0 521.0 326 38.0 37.0
5.0 4.0 4.0 4.0 1.0 521.0 327 38.0 37.0
5.0 4.0 4.0 4.0 1.0 553.0 328 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 329 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 330 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 331 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 332 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 333 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 334 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 335 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 336 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 337 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 338 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 339 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 340 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 341 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 342 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 343 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 344 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 345 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 346 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 347 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 348 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 349 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 350 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 351 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 352 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 353 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 354 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 355 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 356 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 357 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 358 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 359 39.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 360 40.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 361 40.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 362 40.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 363 40.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 364 40.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 365 40.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 366 40.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 367 40.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 368 40.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 369 40.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 370 40.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 371 40.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 372 40.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 373 40.0 38.0
5.0 4.0 4.0 4.0 1.0 553.0 374 40.0 38.0
4.0 4.0 4.0 4.0 0.0 545.0 375 39.0 37.0
4.0 4.0 4.0 4.0 0.0 545.0 376 40.0 37.0
4.0 4.0 4.0 4.0 0.0 545.0 377 40.0 37.0
4.0 4.0 4.0 4.0 0.0 545.0 378 40.0 37.0
4.0 4.0 4.0 4.0 0.0 545.0 379 40.0 37.0
4.0 4.0 4.0 4.0 0.0 545.0 380 40.0 37.0
4.0 4.0 4.0 4.0 0.0 545.0 381 40.0 37.0
4.0 4.0 4.0 4.0 0.0 545.0 382 40.0 37.0
4.0 4.0 4.0 4.0 0.0 545.0 383 40.0 37.0
4.0 4.0 4.0 4.0 0.0 545.0 384 40.0 37.0
4.0 4.0 4.0 4.0 0.0 545.0 385 40.0 37.0
4.0 4.0 4.0 4.0 0.0 545.0 386 40.0 37.0
4.0 4.0 4.0 4.0 0.0 545.0 387 40.0 37.0
4.0 4.0 4.0 4.0 0.0 545.0 388 40.0 37.0
4.0 4.0 4.0 4.0 0.0 545.0 389 40.0 37.0
5.0 5.0 4.0 4.0 1.0 577.0 390 41.0 38.0
5.0 5.0 4.0 4.0 1.0 577.0 391 41.0 38.0
5.0 5.0 4.0 4.0 1.0 577.0 392 41.0 38.0
5.0 5.0 4.0 4.0 1.0 577.0 393 41.0 38.0
5.0 5.0 4.0 4.0 1.0 577.0 394 41.0 38.0
5.0 5.0 4.0 4.0 1.0 577.0 395 41.0 38.0
5.0 5.0 4.0 4.0 1.0 577.0 396 41.0 38.0
5.0 5.0 4.0 4.0 1.0 577.0 397 41.0 38.0
5.0 5.0 4.0 4.0 1.0 577.0 398 41.0 38.0
5.0 5.0 4.0 4.0 1.0 577.0 399 41.0 38.0
5.0 5.0 4.0 4.0 1.0 577.0 400 41.0 38.0
5.0 5.0 4.0 4.0 1.0 577.0 401 41.0 38.0
5.0 5.0 4.0 4.0 1.0 577.0 402 41.0 38.0
5.0 5.0 4.0 4.0 1.0 577.0 403 41.0 38.0
5.0 5.0 4.0 4.0 1.0 577.0 404 41.0 38.0
