SuccessFlag cost index outport
0.0 0.0 570 -1.0
0.0 0.0 571 -1.0
1.0 2.0 572 22.0
0.0 0.0 573 -1.0
1.0 2.0 574 22.0
1.0 2.0 575 23.0
1.0 2.0 576 17.0
0.0 0.0 577 -1.0
1.0 2.0 578 17.0
1.0 3.0 579 26.0
0.0 0.0 580 -1.0
0.0 0.0 581 -1.0
0.0 0.0 582 -1.0
0.0 0.0 583 -1.0
0.0 0.0 584 -1.0
1.0 2.0 585 0.0
1.0 3.0 586 11.0
1.0 3.0 587 8.0
1.0 2.0 588 0.0
0.0 0.0 589 -1.0
0.0 0.0 590 -1.0
1.0 2.0 591 0.0
0.0 0.0 592 -1.0
0.0 0.0 593 -1.0
0.0 0.0 594 -1.0
1.0 2.0 595 0.0
1.0 2.0 596 12.0
0.0 0.0 597 -1.0
0.0 0.0 598 -1.0
0.0 0.0 599 -1.0
0.0 0.0 600 -1.0
0.0 0.0 601 -1.0
0.0 0.0 602 -1.0
1.0 3.0 603 26.0
0.0 0.0 604 -1.0
1.0 2.0 605 0.0
0.0 0.0 606 -1.0
1.0 2.0 607 0.0
1.0 2.0 608 19.0
0.0 0.0 609 -1.0
1.0 2.0 610 0.0
1.0 2.0 611 0.0
1.0 2.0 612 23.0
1.0 2.0 613 25.0
1.0 3.0 614 21.0
0.0 0.0 615 -1.0
1.0 2.0 616 10.0
1.0 2.0 617 0.0
1.0 2.0 618 9.0
0.0 0.0 619 -1.0
1.0 3.0 620 11.0
0.0 0.0 621 -1.0
0.0 0.0 622 -1.0
1.0 3.0 623 21.0
1.0 2.0 624 23.0
0.0 0.0 625 -1.0
0.0 0.0 626 -1.0
0.0 0.0 627 -1.0
0.0 0.0 628 -1.0
0.0 0.0 629 -1.0
1.0 2.0 630 0.0
1.0 3.0 631 13.0
1.0 2.0 632 0.0
0.0 0.0 633 -1.0
1.0 2.0 634 0.0
0.0 0.0 635 -1.0
1.0 2.0 636 0.0
0.0 0.0 637 -1.0
0.0 0.0 638 -1.0
0.0 0.0 639 -1.0
1.0 2.0 640 11.0
0.0 0.0 641 -1.0
1.0 2.0 642 0.0
0.0 0.0 643 -1.0
0.0 0.0 644 -1.0
1.0 2.0 645 12.0
0.0 0.0 646 -1.0
1.0 3.0 647 24.0
1.0 2.0 648 8.0
0.0 0.0 649 -1.0
0.0 0.0 650 -1.0
1.0 2.0 651 27.0
0.0 0.0 652 -1.0
0.0 0.0 653 -1.0
0.0 0.0 654 -1.0
0.0 0.0 655 -1.0
1.0 3.0 656 26.0
1.0 2.0 657 8.0
1.0 2.0 658 0.0
1.0 2.0 659 0.0
0.0 0.0 660 -1.0
1.0 2.0 661 0.0
0.0 0.0 662 -1.0
1.0 2.0 663 0.0
1.0 3.0 664 26.0
0.0 0.0 665 -1.0
1.0 2.0 666 22.0
1.0 2.0 667 0.0
1.0 2.0 668 0.0
1.0 2.0 669 0.0
0.0 0.0 670 -1.0
0.0 0.0 671 -1.0
0.0 0.0 672 -1.0
1.0 2.0 673 16.0
1.0 2.0 674 0.0
1.0 2.0 675 27.0
1.0 2.0 676 0.0
0.0 0.0 677 -1.0
1.0 2.0 678 19.0
0.0 0.0 679 -1.0
1.0 3.0 680 11.0
1.0 2.0 681 15.0
0.0 0.0 682 -1.0
1.0 2.0 683 0.0
0.0 0.0 684 -1.0
0.0 0.0 685 -1.0
0.0 0.0 686 -1.0
0.0 0.0 687 -1.0
0.0 0.0 688 -1.0
0.0 0.0 689 -1.0
0.0 0.0 690 -1.0
1.0 3.0 691 26.0
1.0 2.0 692 18.0
1.0 3.0 693 13.0
0.0 0.0 694 -1.0
0.0 0.0 695 -1.0
0.0 0.0 696 -1.0
0.0 0.0 697 -1.0
1.0 2.0 698 24.0
1.0 3.0 699 21.0
0.0 0.0 700 -1.0
1.0 2.0 701 12.0
1.0 3.0 702 13.0
0.0 0.0 703 -1.0
1.0 2.0 704 0.0
0.0 0.0 705 -1.0
1.0 3.0 706 16.0
1.0 3.0 707 26.0
0.0 0.0 708 -1.0
0.0 0.0 709 -1.0
0.0 0.0 710 -1.0
1.0 3.0 711 21.0
1.0 2.0 712 0.0
0.0 0.0 713 -1.0
1.0 3.0 714 23.0
0.0 0.0 715 -1.0
0.0 0.0 716 -1.0
1.0 2.0 717 15.0
1.0 2.0 718 26.0
0.0 0.0 719 -1.0
1.0 2.0 720 0.0
0.0 0.0 721 -1.0
0.0 0.0 722 -1.0
1.0 3.0 723 11.0
0.0 0.0 724 -1.0
1.0 2.0 725 0.0
1.0 2.0 726 18.0
1.0 2.0 727 0.0
0.0 0.0 728 -1.0
0.0 0.0 729 -1.0
0.0 0.0 730 -1.0
1.0 2.0 731 0.0
1.0 3.0 732 9.0
0.0 0.0 733 -1.0
0.0 0.0 734 -1.0
1.0 2.0 735 20.0
1.0 2.0 736 0.0
1.0 2.0 737 27.0
0.0 0.0 738 -1.0
1.0 2.0 739 23.0
0.0 0.0 740 -1.0
1.0 2.0 741 27.0
0.0 0.0 742 -1.0
0.0 0.0 743 -1.0
1.0 2.0 744 0.0
0.0 0.0 745 -1.0
1.0 2.0 746 25.0
0.0 0.0 747 -1.0
0.0 0.0 748 -1.0
1.0 3.0 749 16.0
0.0 0.0 750 -1.0
0.0 0.0 751 -1.0
1.0 2.0 752 0.0
1.0 2.0 753 0.0
0.0 0.0 754 -1.0
1.0 2.0 755 26.0
1.0 2.0 756 22.0
0.0 0.0 757 -1.0
1.0 2.0 758 12.0
0.0 0.0 759 -1.0
1.0 2.0 760 0.0
1.0 3.0 761 16.0
0.0 0.0 762 -1.0
0.0 0.0 763 -1.0
0.0 0.0 764 -1.0
1.0 2.0 765 0.0
1.0 3.0 766 24.0
1.0 2.0 767 0.0
0.0 0.0 768 -1.0
1.0 3.0 769 26.0
0.0 0.0 770 -1.0
1.0 3.0 771 24.0
1.0 3.0 772 25.0
0.0 0.0 773 -1.0
1.0 3.0 774 11.0
0.0 0.0 775 -1.0
1.0 3.0 776 21.0
0.0 0.0 777 -1.0
1.0 3.0 778 26.0
0.0 0.0 779 -1.0
1.0 3.0 780 16.0
1.0 2.0 781 0.0
0.0 0.0 782 -1.0
1.0 2.0 783 0.0
